district,land,se,ci_l,ci_u,cv,cv%,var
Chadiza,0.6333333333333333,0.1525353091603895,0.3343696210082874,0.9322970456583792,0.24084522499008867,24.084522499008866,0.0232670205406556
Chama,0.5804994415307198,0.04848642006368549,0.48546780446661597,0.6755310785948235,0.08352535178299497,8.352535178299497,0.002350932930592163
Chasefu,0.7654187478122095,0.057561508701526355,0.652600263861429,0.8782372317629901,0.07520263759681085,7.520263759681085,0.003313327283995894
Chavuma,0.6338028169014085,0.12940723709569862,0.38016929285500356,0.8874363409478134,0.20417586297321336,20.417586297321336,0.01674623301274236
Chembe,0.7906976744186046,0.08788548796595105,0.6184452832416123,0.9629500655955969,0.11114929360399693,11.114929360399692,0.007723858995013327
Chibombo,0.5090538056344238,0.05228667149868361,0.40657381262552705,0.6115337986433206,0.10271344781229903,10.271344781229903,0.0027338960164112525
Chiengi,0.7775401829759871,0.04263815191824954,0.6939709408488707,0.8611094251031036,0.05483723266243892,5.483723266243892,0.0018180119990037268
Chifunabuli,0.7386497146901717,0.05999287005805862,0.6210658500471855,0.8562335793331579,0.08121964831899077,8.121964831899078,0.003599144457803106
Chikankanta,0.766136993748324,0.06933032700346818,0.6302520497851416,0.9020219377115064,0.0904933811696909,9.04933811696909,0.004806694242407829
Chilanga,0.15867708354555443,0.047820757529437846,0.06495012107443367,0.2524040460166752,0.301371543142265,30.1371543142265,0.0022868248506892866
Chililabombwe,0.3028153891630146,0.09063648730527261,0.1251711383594585,0.4804596399665707,0.29931268538165434,29.931268538165433,0.008214972831038845
Chilubi,0.7654529829298684,0.06613818694574523,0.6358245185134306,0.8950814473463062,0.08640398355048919,8.64039835504892,0.004374259772470346
Chingola,0.18478152341879966,0.052033530858341163,0.08279767694799749,0.28676536988960183,0.2815948797023895,28.15948797023895,0.002707488333585942
Chinsali,0.6638631551387341,0.05573981571969333,0.5546151238232356,0.7731111864542325,0.08396280963664089,8.39628096366409,0.0031069270564653717
Chipangali,0.8754294355612582,0.04394598946474794,0.7892968789453756,0.9615619921771408,0.05019935094662786,5.019935094662786,0.0019312499900357369
Chipata,0.5736456642326468,0.039569746268208805,0.4960903866695694,0.6512009417957243,0.06897942185467466,6.897942185467467,0.0015657648197304247
Chipili,0.8105263157894737,0.08478071718031552,0.644359163532579,0.9766934680463683,0.1045995861315581,10.45995861315581,0.007187770005608647
Chisamba,0.5801682988772998,0.06418465426279102,0.4543686881620742,0.7059679095925254,0.11063109512704601,11.063109512704601,0.004119669842834017
Chitambo,0.6761842158737355,0.08496478360973626,0.5096563000444133,0.8427121317030576,0.12565330810029116,12.565330810029115,0.007219014453849308
Choma,0.25037567042776127,0.049286530271703814,0.15377584617227869,0.34697549468324385,0.19685031771457215,19.685031771457215,0.0024291620662235764
Chongwe,0.5417098348724666,0.05336818700946106,0.43711011041372455,0.6463095593312086,0.09851803230049423,9.851803230049423,0.0028481633846768085
Gwembe,0.6136672985095267,0.10076769839415188,0.41616623885199444,0.811168358167059,0.16420574900910667,16.420574900910665,0.01015412903965476
Ikelenge,0.6862485735771751,0.07935617494449013,0.5307133287351147,0.8417838184192354,0.11563765375982349,11.56376537598235,0.006297402501820522
Isoka,0.5764843220444372,0.05967773457029289,0.45951811160772227,0.6934505324811522,0.10352013452621309,10.352013452621309,0.0035614320034423313
Kabompo,0.546829345696914,0.08453809278670978,0.38113772851325756,0.7125209628805704,0.15459684717353467,15.459684717353467,0.007146689132014351
Kabwe,0.4069449647168585,0.045223425500393016,0.3183086794785579,0.49558124995515906,0.11112909464762213,11.112909464762213,0.0020451582139895974
Kafue,0.4567635397003925,0.08189141031182288,0.2962593248460277,0.6172677545547574,0.1792862240395509,17.928622403955092,0.006706203082859331
Kalabo,0.6637242756929855,0.05777389340849842,0.5504895253656726,0.7769590260202984,0.08704502083817484,8.704502083817484,0.0033378227595765374
Kalomo,0.4018873628474638,0.05938357367696707,0.2854976971673276,0.5182770285276,0.14776173417402547,14.776173417402546,0.003526408822647776
Kalulushi,0.27105399750389186,0.08281771493715637,0.10873425894516056,0.4333737360626232,0.3055395445181259,30.553954451812594,0.006858773907412093
Kalumbila,0.5272355606293426,0.08792274216005712,0.35491015257362934,0.6995609686850559,0.16676178301612815,16.676178301612815,0.007730408588943885
Kanchibiya,0.7327820512020695,0.07956224223393976,0.576842921894296,0.8887211805098431,0.10857558820310126,10.857558820310127,0.006330150389292108
Kaoma,0.5770304129786584,0.0637359108333872,0.4521103232233633,0.7019505027339535,0.11045502871222922,11.045502871222922,0.004062266329761484
Kapiri Mposhi,0.5844124464190547,0.0454090551081394,0.49541233383510686,0.6734125590030025,0.07770035594960396,7.7700355949603965,0.002061982285814041
Kaputa,0.6430036549502456,0.08059749061059956,0.4850354761091653,0.8009718337913259,0.12534530712245492,12.534530712245493,0.006495955492725685
Kasama,0.6116525471659325,0.044727081009331024,0.5239890792540384,0.6993160150778267,0.07312498119491556,7.312498119491556,0.00200051177561526
Kasempa,0.7274688163183283,0.06159310204000224,0.6067485546238234,0.8481890780128332,0.08466768699684046,8.466768699684046,0.0037937102189101284
Kasenengwa,0.822403070294446,0.04302683215990744,0.7380720288921777,0.9067341116967144,0.052318423549297416,5.231842354929742,0.0018513082857168454
Katete,0.8352770687303152,0.03357382138736277,0.7694735879877035,0.9010805494729268,0.04019483192373225,4.019483192373225,0.0011272014825505377
Kawambwa,0.8077143107519864,0.049368597656366545,0.7109536373782595,0.9044749841257134,0.061121360608807476,6.112136060880748,0.0024372584345562004
Kazungula,0.3882438114213961,0.08365583547736695,0.22428138678914877,0.5522062360536434,0.21547242484328413,21.547242484328414,0.006998298809416287
Kitwe,0.18516787219715009,0.03259350851040913,0.12128576938694846,0.2490499750073517,0.1760214022209344,17.60214022209344,0.0010623367970181124
Lavushimanda,0.7911509245845155,0.060796669029276613,0.6719916429071316,0.9103102062618994,0.0768458547415651,7.684585474156511,0.003696234965055402
Limulunga,0.35558864887871244,0.09651722968812708,0.16641835480240333,0.5447589429550216,0.27142944521001316,27.142944521001315,0.009315575626670678
Livingstone,0.3494441788655578,0.10298499295681698,0.1475973017220854,0.5512910560090302,0.2947108556541117,29.47108556541117,0.010605908774315644
Luampa,0.802863106814732,0.07528731955162103,0.6553026720009967,0.9504235416284674,0.09377354484541568,9.377354484541568,0.005668180485267899
Luangwa,0.9129662832098929,0.03783970060375278,0.8388018328407589,0.9871307335790269,0.041446985830311714,4.144698583031172,0.0014318429417816486
Luano,0.861111111111111,0.08581933287671709,0.6929083094954914,1.0293139127267308,0.09966116076005856,9.966116076005855,0.007364957895404774
Luanshya,0.17033640870183653,0.06214461640052527,0.04853519872374985,0.2921376186799232,0.36483460508613647,36.483460508613646,0.0038619533475684345
Lufwanyama,0.5890624477281587,0.06946258321141534,0.4529182863606681,0.7252066090956494,0.1179205761278998,11.79205761278998,0.0048250504664028
Lukulu,0.38410875798444755,0.07396717094763838,0.23913576688875893,0.5290817490801362,0.19256830106079822,19.25683010607982,0.00547114237799716
Lumezi,0.8500653479332055,0.0549066328270147,0.7424503250798921,0.957680370786519,0.06459107286341123,6.459107286341123,0.003014738328400608
Lundazi,0.7380189746093064,0.05357586514348383,0.6330122084875033,0.8430257407311096,0.07259415677197988,7.259415677197987,0.0028703733258727657
Lunga,0.8601549251217503,0.06634862655152075,0.7301140066570717,0.9901958435864289,0.07713567011446161,7.713567011446161,0.004402140245273164
Lunte District,0.9422027599987692,0.03943539435836504,0.8649108073402397,1.0194947126572986,0.041854467034692776,4.185446703469277,0.001555150328199769
Lupososhi,0.7216111650696927,0.06430424144731747,0.5955771677797826,0.8476451623596027,0.08911203783980673,8.911203783980673,0.004135035468114902
Lusaka,0.2724690859385815,0.021062052378810626,0.2311882218356165,0.3137499500415465,0.07730070479833562,7.730070479833562,4.4361005040776237e-4
Luwingu,0.5865691093652782,0.09361472865666563,0.40308761277572386,0.7700506059548324,0.15959709974834063,15.959709974834063,0.008763717421461134
Mafinga,0.6263266394704188,0.06794827076543494,0.49315047595839046,0.7595028029824471,0.1084869562994919,10.84869562994919,0.004616967500012861
Mambwe,0.7819326803528758,0.08166712058826697,0.621868065278783,0.9419972954269685,0.10444264914392846,10.444264914392846,0.0066695185851785395
Mansa,0.6977831935346889,0.03340161991704007,0.6323172214719947,0.7632491655973831,0.04786819204951169,4.786819204951169,0.0011156682130824078
Manyinga,0.7430762532204823,0.05766529599758411,0.6300543499073757,0.8560981565335889,0.07760347036749392,7.760347036749391,0.00332528636248899
Masaiti,0.5124229457735212,0.06101525155809703,0.3928352502119996,0.6320106413350428,0.11907205183013862,11.907205183013863,0.0037228609226978623
Mazabuka,0.5059105157409164,0.0524246672260023,0.40316005607645455,0.6086609754053782,0.10362438730735868,10.362438730735867,0.00274834573375708
Mbala,0.7314999505481676,0.07290753932908546,0.5886037992617226,0.8743961018346127,0.09966854990824044,9.966854990824043,0.005315509291022143
Milengi,0.8958333333333333,0.08089855485320968,0.7372750794197043,1.0543915872469622,0.09030536355707128,9.030536355707127,0.006544576177337775
Mitete,0.425531914893617,0.11881370604701808,0.19266133017173281,0.6584024996155012,0.2792122092104925,27.92122092104925,0.014116696744627219
Mkushi,0.6324228117004748,0.06313767065716182,0.5086752511446863,0.7561703722562633,0.09983458769837164,9.983458769837164,0.003986365456012233
Mongu,0.4716736989137663,0.055581194795149565,0.36273655889756806,0.5806108389299646,0.11783823207261593,11.783823207261593,0.003089269214856361
Monze,0.5840833210838431,0.05844430982076014,0.4695345787338526,0.69863206343383355,0.10006159688365877,10.006159688365877,0.003415737350425
Mpika,0.6002503350183144,0.04786831727268304,0.5064301571633191,0.6940705128733097,0.07974725623638765,7.974725623638765,0.002291375798518246
Mpongwe,0.6042242892491421,0.07510500553945357,0.45702118333313185,0.7514273951651522,0.12429987816740223,12.429987816740223,0.005640761857081351
Mporokoso,0.7662678554260896,0.0672226649808727,0.6345138531187772,0.8980218577334019,0.08772737170802107,8.772737170802108,0.004518886687130649
Mpulungu,0.7723946484064949,0.05680580723980936,0.6610573121037439,0.8837319847092459,0.07354505544154634,7.354505544154634,0.0032268997361663775
Mufulira,0.32050872263474317,0.06470045118192508,0.19369816853467808,0.44731927673480826,0.20186798864647043,20.18679886464704,0.00418614838314467
Mufumbwe,0.788846104092596,0.05598649810020242,0.6791145841956792,0.8985776239895129,0.07097264955704292,7.097264955704293,0.003134487969523969
Mulobezi,0.2718503225783339,0.08823334018140071,0.09891615358711778,0.44478449156955,0.3245658836986526,32.45658836986526,0.00778512231956678
Mumbwa,0.6354872814244115,0.04899549479419538,0.5394578762230688,0.7315166866257541,0.07709909580625209,7.709909580625209,0.0024005585101280263
Mungwi,0.5998496509529831,0.05157355211962558,0.49876734624371766,0.7009319556622486,0.08597746458248413,8.597746458248414,0.002659831278235736
Mushindano,0.75,0.09841437315418013,0.5571113730567214,0.9428886269432786,0.1312191642055735,13.12191642055735,0.009685388843330209
Mwandi,0.3695652173913043,0.14500332907743868,0.08536391476111499,0.6537665200214937,0.39236194926836354,39.236194926836355,0.021025965443539973
Mwansabombwe,0.5176528121782515,0.07359846064025122,0.3734024800057705,0.6619031443507326,0.14217726419866894,14.217726419866894,0.005416733408614607
Mwense,0.6760467344747597,0.053667607901312184,0.5708601558517706,0.7812333130977488,0.07938446436400304,7.938446436400303,0.0028802121378489857
Mwinilunga,0.7631805765308142,0.048341405779609645,0.6684331622407429,0.8579279908208854,0.06334202843494119,6.334202843494118,0.0023368915127488766
Nakonde,0.6665007339283154,0.046590385078207,0.5751852571491773,0.7578162107074535,0.06990297640575137,6.990297640575137,0.0021706639817356136
Nalolo,0.7404324476679941,0.07786539390483252,0.5878190799724977,0.8930458153634905,0.10516204975899023,10.516204975899022,0.0060630195679547295
Namwala,0.6794236150963102,0.08546939874811592,0.5119066717697103,0.8469405584229102,0.12579692087387984,12.579692087387983,0.007305018122364439
Nchelenge,0.6356643156633593,0.04683148628443634,0.5438762892033826,0.7274523421233361,0.07367329757305076,7.367329757305076,0.002193188107609349
Ndola,0.32907382816906666,0.046130753635002276,0.23865921246477204,0.41948844387336126,0.14018359919921042,14.018359919921043,0.002128046430933276
Ngabwe,0.46875,0.15021484164442497,0.17433432043353964,0.7631656795664603,0.32045832884143993,32.04583288414399,0.02256449865025967
Nkeyema,0.83828658996283,0.07411384859735967,0.6930261159563507,0.9835470639693094,0.08841111081193118,8.841111081193118,0.005492862553912352
Nsama,0.8004795952984969,0.0793582299447654,0.6449403227299086,0.9560188678670851,0.09913835457001612,9.913835457001612,0.0062977286599662586
Nyimba,0.8612322829559973,0.047527992524491476,0.7680791293505052,0.9543854365614894,0.05518603222972752,5.518603222972752,0.0022589100734081175
Pemba,0.1667873907663831,0.07162294127437727,0.026409005401776375,0.30716577613098983,0.4294265948119458,42.94265948119458,0.005129845716792894
Petauke,0.8861504582631211,0.02188577765113271,0.8432551222932494,0.9290457942329928,0.024697586563380475,2.4697586563380476,4.7898726339481995e-4
Rufunsa,0.8725856276101117,0.05154839649741055,0.7715526270143964,0.973618628205827,0.059075459033853556,5.907545903385356,0.002657237181454248
Samfya,0.7578831202877782,0.051486290300927905,0.6569718456003856,0.8587943949751707,0.06793434095929975,6.793434095929975,0.002650838088951423
Senanga,0.5657121865503866,0.06321505443712316,0.4418129565728863,0.6896114165278869,0.11174419773877853,11.174419773877853,0.003996143107488445
Senga Hill,0.8846739900666303,0.037182246835239734,0.811798125405282,0.9575498547279786,0.04202932069070925,4.202932069070925,0.0013825194797166952
Serenje,0.7880709714076817,0.04822999144201938,0.6935419252066487,0.8826000176087146,0.0612000608979026,6.12000608979026,0.0023261320744972624
Sesheke,0.3187130056364802,0.10784288454101945,0.10734483594717076,0.5300811753257897,0.33836988963049597,33.8369889630496,0.011630087746127652
Shang'ombo,0.6082637438408787,0.08062977139370726,0.45023229582751456,0.7662951918542428,0.1325572536751425,13.255725367514252,0.0065011600350014945
Shiwamg'andu,0.7451595835636463,0.05638484914970017,0.6346473099565101,0.8556718571707825,0.07566815269293811,7.566815269293811,0.003179251213634444
Siavonga,0.3292725712168154,0.09356723732029958,0.14588415593611626,0.5126609864975146,0.2841634727560971,28.41634727560971,0.008754827899753261
Sikongo,0.6450718449156149,0.11178303354135054,0.425981125091935,0.8641625647392948,0.17328772666550568,17.328772666550567,0.0124954465877067
Sinazongwe,0.5309163484184892,0.08578216042461108,0.3627864034702144,0.699046293366764,0.16157377839304016,16.157377839304015,0.007358579047113711
Sinda,0.9299603568524973,0.02652204559526722,0.8779781026894444,0.9819426110155502,0.0285195443008265,2.85195443008265,7.034189025574332e-4
Sioma,0.4033964026053275,0.10324533036932014,0.20103927350952058,0.6057535317011344,0.25594013655677705,25.594013655677706,0.01065959824307006
Solwezi,0.6003210313832366,0.043633409003777,0.5148011212131279,0.6858409415533452,0.0726834588873866,7.2683458887386605,0.0019038743812908876
Vubwi,0.7554969137767973,0.0799270807872048,0.5988427140444526,0.912151113509142,0.10579405333059815,10.579405333059814,0.006388338243164362
Zambezi,0.6131936539716993,0.05698736040949492,0.5015004799950856,0.724886827948313,0.09293533949737362,9.293533949737363,0.003247559246441669
Zimba,0.5500518614247669,0.0859736876681118,0.3815465299771724,0.7185571928723614,0.15630105758649596,15.630105758649595,0.0073914749712540384
