"","district","A15-19","A20-24","A25-29","A30-34","A35-39","A40-44","A45-49","bemba","english","kaonde","lozi","lunda","luvale","nyanja","other_lang","tonga","no_electricity","yes_electricity","no_cell","yes_cell","catholic","muslim","other_rel","protestant","conn_sewage","unconn_sewage","no_internet","yes_internet"
"1","Chadiza",0.251481237656353,0.195523370638578,0.162606978275181,0.138907175773535,0.10533245556287,0.0776826859776168,0.0684660961158657,0.00526662277814352,0.0032916392363397,0,0.00131665569453588,0,0,0.098090849242923,0.89137590520079,0.000658327847267939,0.866359447004608,0.133640552995392,0.645161290322581,0.354838709677419,0.328505595786702,0.000658327847267939,0.113890717577354,0.556945358788677,0.011191573403555,0.988808426596445,0.988808426596445,0.011191573403555
"2","Chama",0.231861804222649,0.193857965451056,0.181573896353167,0.143570057581574,0.112859884836852,0.0740882917466411,0.0621880998080614,0.0506717850287908,0,0,0,0,0,0.0119001919385797,0.93742802303263,0,0.942034548944338,0.0579654510556622,0.771976967370441,0.228023032629559,0.152015355086372,0.00191938579654511,0.072936660268714,0.773128598848368,0.00268714011516315,0.997312859884837,0.993857965451056,0.00614203454894434
"3","Chasefu",0.245810055865922,0.206703910614525,0.167597765363128,0.123836126629423,0.10707635009311,0.0837988826815642,0.0651769087523277,0,0,0,0,0,0,0.0251396648044693,0.974860335195531,0,0.918994413407821,0.0810055865921788,0.681564245810056,0.318435754189944,0.195530726256983,0.0121042830540037,0.101489757914339,0.690875232774674,0.00279329608938547,0.997206703910615,1,0
"4","Chavuma",0.246867167919799,0.18796992481203,0.195488721804511,0.132832080200501,0.0952380952380952,0.075187969924812,0.0664160401002506,0.0037593984962406,0,0.0012531328320802,0.0012531328320802,0.0225563909774436,0.926065162907268,0.0050125313283208,0.0401002506265664,0,0.848370927318296,0.151629072681704,0.704260651629073,0.295739348370927,0.0952380952380952,0,0.0864661654135338,0.818295739348371,0.0025062656641604,0.99749373433584,0.996240601503759,0.0037593984962406
"5","Chembe",0.261253309796999,0.203883495145631,0.170344218887908,0.119152691968226,0.100617828773169,0.0741394527802295,0.0706090026478376,0.567519858781995,0.00088261253309797,0,0,0.00088261253309797,0,0.00088261253309797,0.428949691085613,0.00088261253309797,0.864077669902913,0.135922330097087,0.502206531332745,0.497793468667255,0.233892321270962,0,0.102383053839365,0.663724624889673,0.0185348631950574,0.981465136804943,0.997352162400706,0.00264783759929391
"6","Chibombo",0.255185333868594,0.207547169811321,0.174093402917168,0.137294259333601,0.102769971898836,0.0666399036531513,0.056469958517329,0.169543690619564,0.0275659039207815,0.00173959587849592,0.00869797939247959,0.00133815067576609,0.0014719657433427,0.327579285427539,0.288103840492439,0.173959587849592,0.639100762745885,0.360899237254115,0.240198046300013,0.759801953699987,0.144520272982738,0.00428208216245149,0.0873812391275258,0.763816405727285,0.0935367322360498,0.90646326776395,0.980730630268968,0.0192693697310317
"7","Chiengi",0.218283582089552,0.198880597014925,0.204850746268657,0.129850746268657,0.108208955223881,0.0779850746268657,0.0619402985074627,0.741044776119403,0,0,0,0.000373134328358209,0,0,0.258582089552239,0,0.965298507462687,0.0347014925373134,0.692910447761194,0.307089552238806,0.165298507462687,0.00261194029850746,0.195149253731343,0.636940298507463,0.00223880597014925,0.997761194029851,0.999253731343284,0.000746268656716418
"8","Chifunabuli",0.24980959634425,0.186595582635187,0.174409748667174,0.126428027418126,0.114242193450114,0.0814927646610815,0.067022086824067,0.405940594059406,0,0,0,0,0,0,0.594059405940594,0,0.936785986290937,0.0632140137090632,0.748667174409749,0.251332825590251,0.443259710586443,0,0.0548362528560548,0.501904036557502,0.000761614623000762,0.999238385376999,0.999238385376999,0.000761614623000762
"9","Chikankanta",0.259401709401709,0.211111111111111,0.184188034188034,0.127777777777778,0.104700854700855,0.0628205128205128,0.05,0.0397435897435897,0.00854700854700855,0,0.0286324786324786,0.000427350427350427,0.00128205128205128,0.0820512820512821,0.0820512820512821,0.757264957264957,0.723931623931624,0.276068376068376,0.349145299145299,0.650854700854701,0.105128205128205,0.000427350427350427,0.0653846153846154,0.829059829059829,0.0978632478632479,0.902136752136752,0.995299145299145,0.0047008547008547
"10","Chilanga",0.250475586556753,0.211160431198478,0.17564996829423,0.135066582117945,0.107799619530755,0.0608750792644261,0.0589727330374128,0.125554850982879,0.0437539632213063,0.00126823081800888,0.015852885225111,0.000634115409004439,0.00126823081800888,0.549143944197844,0.138237159162968,0.12428662016487,0.504121750158529,0.495878249841471,0.186429930247305,0.813570069752695,0.161699429296132,0.00190234622701332,0.0811667723525682,0.755231452124287,0.176284083703234,0.823715916296766,0.972733037412809,0.0272669625871909
"11","Chililabombwe",0.266998341625207,0.204643449419569,0.18407960199005,0.124709784411277,0.0915422885572139,0.0656716417910448,0.0623548922056385,0.885572139303483,0.00895522388059702,0.00530679933665008,0.00298507462686567,0.00696517412935323,0.00398009950248756,0.00696517412935323,0.0786069651741294,0.00066334991708126,0.34195688225539,0.65804311774461,0.17379767827529,0.82620232172471,0.183084577114428,0.00066334991708126,0.0769485903814262,0.739303482587065,0.67893864013267,0.32106135986733,0.971475953565506,0.0285240464344942
"12","Chilubi",0.243228302929795,0.181868435599779,0.185737976782753,0.122719734660033,0.122166943062465,0.0834715312327253,0.0608070757324489,0.19126589275843,0.000552791597567717,0,0,0,0,0.000552791597567717,0.807628524046434,0,0.943062465450525,0.0569375345494748,0.774461028192372,0.225538971807629,0.568269762299613,0,0.066334991708126,0.365395245992261,0.00276395798783858,0.997236042012161,0.998894416804865,0.00110558319513543
"13","Chingola",0.26075841499787,0.198551342138901,0.18086919471666,0.133361738389433,0.0986365573072007,0.0690242863229655,0.0587984661269706,0.885598636557307,0.015977844056242,0.0144865786109928,0.00234341712824883,0.010012782275245,0.00383468257349808,0.0034086067319983,0.0617809970174691,0.00255645504899872,0.404985087345548,0.595014912654452,0.152109075415424,0.847890924584576,0.187686408180656,0.00255645504899872,0.057946314443971,0.751810822326374,0.589475926714955,0.410524073285045,0.972731146144014,0.0272688538559864
"14","Chinsali",0.253228120516499,0.1987087517934,0.169296987087518,0.125538020086083,0.10545193687231,0.0817790530846485,0.0659971305595409,0.828550932568149,0,0,0,0,0,0,0.171449067431851,0,0.917503586800574,0.0824964131994261,0.655667144906743,0.344332855093257,0.244619799139168,0,0.078909612625538,0.676470588235294,0.00860832137733142,0.991391678622669,0.997130559540889,0.00286944045911047
"15","Chipangali",0.256369785794814,0.20608793686584,0.180383314543405,0.129199549041714,0.0978579481397971,0.0680947012401353,0.0620067643742954,0.00744081172491545,0.00248027057497182,0,0,0,0,0.480270574971815,0.509582863585118,0.000225479143179256,0.81217587373168,0.18782412626832,0.453889515219842,0.546110484780158,0.255693348365276,0.010597519729425,0.106877113866967,0.626832018038331,0.0514092446448704,0.94859075535513,0.99098083427283,0.00901916572717024
"16","Chipata",0.254814305364512,0.206327372764787,0.180880330123796,0.130330123796424,0.0973177441540578,0.0680880330123796,0.062242090784044,0.00859697386519945,0.00343878954607978,0,0,0,0,0.476960110041265,0.510660247592847,0.000343878954607978,0.80949105914718,0.19050894085282,0.453920220082531,0.546079779917469,0.25687757909216,0.0113480055020633,0.107290233837689,0.624484181568088,0.0529573590096286,0.947042640990371,0.988308115543329,0.0116918844566713
"17","Chipili",0.240761478163494,0.19036954087346,0.170212765957447,0.130459126539754,0.11478163493841,0.0806270996640538,0.0727883538633819,0.862262038073908,0.00167973124300112,0,0,0.0559910414333707,0,0,0.08006718924972,0,0.916573348264278,0.0834266517357223,0.625979843225084,0.374020156774916,0.184210526315789,0,0.0531914893617021,0.762597984322508,0.00447928331466965,0.99552071668533,0.990481522956327,0.00951847704367301
"18","Chirundu",0.244025157232704,0.19622641509434,0.183647798742138,0.134591194968553,0.0981132075471698,0.0754716981132075,0.0679245283018868,0.0276729559748428,0.00251572327044025,0,0,0,0,0.120754716981132,0.132075471698113,0.716981132075472,0.831446540880503,0.168553459119497,0.753459119496855,0.246540880503145,0.133333333333333,0,0.109433962264151,0.757232704402516,0.0314465408805031,0.968553459119497,0.99622641509434,0.00377358490566038
"19","Chisamba",0.274159663865546,0.202731092436975,0.16281512605042,0.131652661064426,0.100490196078431,0.0679271708683473,0.0602240896358543,0.180322128851541,0.00245098039215686,0.000700280112044818,0.00595238095238095,0.000700280112044818,0.000350140056022409,0.165616246498599,0.391456582633053,0.252450980392157,0.809173669467787,0.190826330532213,0.312675070028011,0.687324929971989,0.123949579831933,0.00140056022408964,0.0959383753501401,0.778711484593838,0.0381652661064426,0.961834733893557,0.996498599439776,0.00350140056022409
"20","Chitambo",0.256544502617801,0.194764397905759,0.172774869109948,0.133507853403141,0.107853403141361,0.0722513089005236,0.062303664921466,0.190052356020942,0.000523560209424084,0,0,0,0,0.00366492146596859,0.805235602094241,0.000523560209424084,0.903664921465969,0.0963350785340314,0.664397905759162,0.335602094240838,0.115706806282723,0,0.101570680628272,0.782722513089005,0.0256544502617801,0.97434554973822,0.998429319371728,0.00157068062827225
"21","Choma",0.264097073518915,0.198905543659291,0.171544135141566,0.124910778015703,0.100880323578396,0.0742326909350464,0.0654294551510826,0.0216512015227219,0.00713775874375446,0.000713775874375446,0.00904116107542232,0.000237925291458482,0.00309302878896027,0.0578158458244111,0.0797049726385915,0.820604330240305,0.798477278134666,0.201522721865334,0.387342374494409,0.612657625505591,0.0628122769450393,0.00142755174875089,0.0811325243873424,0.854627646918868,0.0611467999048299,0.93885320009517,0.990720913633119,0.0092790863668808
"22","Chongwe",0.231680042099724,0.21720826207078,0.193790290751217,0.146691224838837,0.10353900802526,0.0605183528483094,0.0465728193658729,0.191422181291935,0.0659123799500066,0.00171030127614788,0.0107880542033943,0.0013156163662676,0.00105249309301408,0.583870543349559,0.113011445862387,0.0309169846072885,0.369951322194448,0.630048677805552,0.111958952769372,0.888041047230628,0.191553742928562,0.00644652019471122,0.0697276674121826,0.732272069464544,0.194448098934351,0.805551901065649,0.961584002104986,0.0384159978950138
"23","Gwembe",0.252393385552655,0.205395996518712,0.161879895561358,0.137510879025239,0.106179286335944,0.0774586597040905,0.0591818973020017,0.0287206266318538,0.000870322019147084,0,0.00174064403829417,0,0,0.0113141862489121,0.0852915578764143,0.872062663185379,0.901653611836379,0.0983463881636205,0.865970409051349,0.134029590948651,0.197563098346388,0,0.13141862489121,0.671018276762402,0.0113141862489121,0.988685813751088,0.995648389904265,0.00435161009573542
"24","Ikelenge",0.25,0.204819277108434,0.19578313253012,0.129518072289157,0.0783132530120482,0.0692771084337349,0.072289156626506,0.00602409638554217,0,0,0,0.753012048192771,0.00301204819277108,0,0.237951807228916,0,0.951807228915663,0.0481927710843374,0.731927710843373,0.268072289156627,0.240963855421687,0,0.171686746987952,0.587349397590361,0,1,1,0
"25","Isoka",0.252122795558459,0.206401045068583,0.161985630306989,0.123448726322665,0.115610711952972,0.0731548007838014,0.0672762900065317,0.186152841280209,0,0,0,0.00130633572828217,0,0.00130633572828217,0.811234487263227,0,0.894186806009144,0.105813193990856,0.606139777922926,0.393860222077074,0.0607446113651208,0,0.160679294578707,0.778576094056172,0.0169823644676682,0.983017635532332,0.996080992815153,0.00391900718484651
"26","Itezhi-tezhi",0.2725,0.19875,0.173125,0.131875,0.093125,0.073125,0.0575,0.03,0.001875,0.000625,0.048125,0.00125,0.0225,0.1125,0.499375,0.28375,0.87375,0.12625,0.540625,0.459375,0.071875,0.001875,0.115625,0.810625,0.025625,0.974375,0.99375,0.00625
"27","Kabompo",0.25,0.196572580645161,0.172379032258065,0.138104838709677,0.108870967741935,0.0715725806451613,0.0625,0.00806451612903226,0,0.00705645161290323,0.00806451612903226,0.265120967741935,0.425403225806452,0,0.286290322580645,0,0.918346774193548,0.0816532258064516,0.661290322580645,0.338709677419355,0.118951612903226,0.00100806451612903,0.108870967741935,0.77116935483871,0.00806451612903226,0.991935483870968,0.997983870967742,0.00201612903225806
"28","Kabwe",0.27187244480785,0.203802125919869,0.171708912510221,0.132052330335241,0.0970973017170891,0.0680703188879804,0.0553965658217498,0.758176614881439,0.0300490596892886,0.0044971381847915,0.0110384300899428,0.00306623058053966,0.00245298446443173,0.0451757972199509,0.113654946852003,0.0318887980376124,0.517170891251022,0.482829108748978,0.188266557645135,0.811733442354865,0.231602616516762,0.00490596892886345,0.0817661488143908,0.681725265739984,0.332583810302535,0.667416189697465,0.975674570727719,0.0243254292722813
"29","Kafue",0.245094476744186,0.211664244186047,0.173873546511628,0.134811046511628,0.107921511627907,0.0657703488372093,0.0608648255813953,0.128270348837209,0.0470566860465116,0.00236191860465116,0.0174418604651163,0.000726744186046512,0.00290697674418605,0.521620639534884,0.134811046511628,0.144803779069767,0.500363372093023,0.499636627906977,0.199672965116279,0.800327034883721,0.165515988372093,0.00508720930232558,0.0863008720930233,0.743095930232558,0.183139534883721,0.816860465116279,0.966569767441861,0.0334302325581395
"30","Kalabo",0.226516052318668,0.218192627824019,0.167063020214031,0.126040428061831,0.102259215219976,0.0832342449464923,0.0766944114149822,0.000594530321046373,0,0,0.523781212841855,0,0.0118906064209275,0,0.463733650416171,0,0.921521997621879,0.0784780023781213,0.799048751486326,0.200951248513674,0.0873959571938169,0.00118906064209275,0.147443519619501,0.76397146254459,0.0101070154577883,0.989892984542212,0.995243757431629,0.00475624256837099
"31","Kalomo",0.264808362369338,0.206736353077816,0.167828106852497,0.133275261324042,0.102497096399535,0.0673635307781649,0.0574912891986063,0.00696864111498258,0.00319396051103368,0,0.0037746806039489,0.000290360046457607,0.00319396051103368,0.0168408826945412,0.099883855981417,0.865853658536585,0.87746806039489,0.12253193960511,0.558652729384437,0.441347270615563,0.0293263646922183,0.000290360046457607,0.0908826945412311,0.879500580720093,0.0211962833914053,0.978803716608595,0.990127758420441,0.00987224157955865
"32","Kalulushi",0.260569105691057,0.195934959349593,0.173577235772358,0.13739837398374,0.0983739837398374,0.0695121951219512,0.0646341463414634,0.871951219512195,0.0170731707317073,0.0040650406504065,0.00121951219512195,0.00934959349593496,0.0024390243902439,0.00853658536585366,0.0780487804878049,0.00731707317073171,0.50650406504065,0.49349593495935,0.179268292682927,0.820731707317073,0.184959349593496,0.00203252032520325,0.0646341463414634,0.748373983739837,0.421138211382114,0.578861788617886,0.979674796747967,0.0203252032520325
"33","Kalumbila",0.264266564534661,0.212179241669858,0.187667560321716,0.126771351972424,0.0957487552661815,0.060130218307162,0.0532363079279969,0.128686327077748,0.0111068556108771,0.432401378782076,0.00344695518958254,0.184220605132133,0.0417464572960552,0.012638835695136,0.183071620068939,0.00268096514745308,0.805055534278054,0.194944465721946,0.423209498276522,0.576790501723478,0.0896208349291459,0.00191497510532363,0.114132516277288,0.794331673688242,0.0348525469168901,0.96514745308311,0.98544618919954,0.0145538108004596
"34","Kanchibiya",0.257703081232493,0.211017740429505,0.169000933706816,0.126984126984127,0.107376283846872,0.0662931839402428,0.061624649859944,0.698412698412698,0,0,0,0,0,0.000933706816059757,0.300653594771242,0,0.867413632119514,0.132586367880486,0.645191409897292,0.354808590102708,0.30905695611578,0,0.0812324929971989,0.609710550887022,0.030812324929972,0.969187675070028,1,0
"35","Kaoma",0.235665439242504,0.195686480799579,0.179379274066281,0.136770120988953,0.104681746449237,0.0815360336664913,0.0662809047869542,0.0131509731720147,0,0.0105207785376118,0.420831141504471,0.00210415570752236,0.0552340873224619,0.00789058390320884,0.490268279852709,0,0.887953708574434,0.112046291425565,0.662809047869542,0.337190952130458,0.0915307732772225,0,0.102577590741715,0.805891635981063,0.0168332456601789,0.983166754339821,0.998421883219358,0.00157811678064177
"36","Kapiri Mposhi",0.257518248175182,0.198540145985401,0.167591240875912,0.132262773722628,0.104525547445255,0.0762043795620438,0.0633576642335766,0.493138686131387,0.00321167883211679,0.000291970802919708,0.00291970802919708,0.00204379562043796,0.00145985401459854,0.0160583941605839,0.376058394160584,0.104817518248175,0.834160583941606,0.165839416058394,0.393868613138686,0.606131386861314,0.159124087591241,0.0035036496350365,0.103941605839416,0.733430656934307,0.0613138686131387,0.938686131386861,0.991824817518248,0.00817518248175183
"37","Kaputa",0.225684608120869,0.183191690273843,0.206798866855524,0.135033050047214,0.106704438149197,0.0783758262511804,0.0642115203021719,0.711992445703494,0,0,0,0,0,0.000944287063267233,0.287063267233239,0,0.96600566572238,0.0339943342776204,0.789423984891407,0.210576015108593,0.188857412653447,0.0103871576959396,0.16052880075543,0.640226628895184,0.00188857412653447,0.998111425873466,0.998111425873466,0.00188857412653447
"38","Kasama",0.257532689027857,0.205609247678605,0.177373507674815,0.123176046996399,0.106689406859958,0.0678415766534016,0.0617775251089634,0.918703808982376,0.00379003221527383,0,0.000379003221527383,0.000947508053818457,0,0.00397953382603752,0.071252605647148,0.000947508053818457,0.792306234602994,0.207693765397006,0.435664203145727,0.564335796854273,0.394352851999242,0.000379003221527383,0.0746636346408944,0.530604510138336,0.0524919461815425,0.947508053818457,0.986545385635778,0.0134546143642221
"39","Kasempa",0.257712082262211,0.200514138817481,0.16452442159383,0.134318766066838,0.101542416452442,0.0848329048843188,0.0565552699228792,0.0167095115681234,0.0044987146529563,0.820051413881748,0.0051413881748072,0.0070694087403599,0.0051413881748072,0.0051413881748072,0.125964010282776,0.0102827763496144,0.87853470437018,0.12146529562982,0.684447300771208,0.315552699228792,0.0829048843187661,0.0006426735218509,0.115681233933162,0.800771208226221,0.012853470437018,0.987146529562982,0.995501285347044,0.0044987146529563
"40","Kasenengwa",0.254283137962128,0.207093477607454,0.180042079951909,0.130447850916742,0.0979861737300872,0.0676284941388638,0.0625187856928164,0.00781484821160204,0.00300571085061617,0,0,0,0,0.477006311992786,0.511872557859934,0.000300571085061617,0.810640216411181,0.189359783588819,0.45356176735798,0.54643823264202,0.256988277727683,0.0117222723174031,0.106402164111812,0.624887285843102,0.0519987977156598,0.94800120228434,0.989480012022843,0.0105199879771566
"41","Katete",0.243837243837244,0.202851202851203,0.173448173448173,0.129492129492129,0.109296109296109,0.070983070983071,0.0700920700920701,0.00623700623700624,0.000594000594000594,0,0.000891000891000891,0,0,0.0781110781110781,0.912384912384912,0.00178200178200178,0.85981585981586,0.14018414018414,0.611226611226611,0.388773388773389,0.295515295515296,0.0103950103950104,0.114642114642115,0.579447579447579,0.010989010989011,0.989010989010989,0.991980991980992,0.00801900801900802
"42","Kawambwa",0.257689422355589,0.197674418604651,0.165416354088522,0.118154538634659,0.105776444111028,0.0843960990247562,0.0708927231807952,0.837584396099025,0.00150037509377344,0.000750187546886722,0.000375093773443361,0.0247561890472618,0,0.00262565641410353,0.130907726931733,0.00150037509377344,0.903600900225056,0.0963990997749437,0.641035258814704,0.358964741185296,0.273068267066767,0.000375093773443361,0.0708927231807952,0.655663915978995,0.00750187546886722,0.992498124531133,0.996249062265566,0.00375093773443361
"43","Kazungula",0.25979061651803,0.205506010081427,0.167119038386972,0.130670802636681,0.106242729740209,0.0697944939899186,0.0608763086467623,0.0143466459868166,0.00504071345482745,0.000775494377665762,0.125242341993021,0,0.0019387359441644,0.0368359829391237,0.479255525397441,0.336564559906941,0.877859635517642,0.122140364482358,0.53974408685537,0.46025591314463,0.0682435052345871,0.000775494377665762,0.0721209771229159,0.858860023264831,0.0414889492051183,0.958511050794882,0.998061264055836,0.0019387359441644
"44","Kitwe",0.250303582270795,0.203703703703704,0.186627200971463,0.13357619914997,0.0964632665452338,0.0692167577413479,0.0601092896174863,0.903992106860959,0.0241347905282332,0.00159380692167577,0.00182149362477231,0.00136612021857923,0.0011384335154827,0.00614754098360656,0.0569975713418336,0.00280813600485732,0.402018822100789,0.597981177899211,0.137446873102611,0.862553126897389,0.212811171827565,0.00356709168184578,0.0814359441408622,0.702185792349727,0.509942319368549,0.490057680631451,0.968047965998786,0.0319520340012143
"45","Lavushimanda",0.257971014492754,0.209275362318841,0.169275362318841,0.12695652173913,0.107246376811594,0.0672463768115942,0.0620289855072464,0.674782608695652,0,0.000579710144927536,0,0,0,0.00173913043478261,0.322898550724638,0,0.858550724637681,0.141449275362319,0.64231884057971,0.35768115942029,0.302608695652174,0,0.0904347826086957,0.60695652173913,0.0365217391304348,0.963478260869565,0.99768115942029,0.00231884057971014
"46","Limulunga",0.23561811505508,0.2203182374541,0.165850673194614,0.136474908200734,0.0997552019583843,0.0783353733170135,0.0636474908200734,0.00305997552019584,0.0018359853121175,0,0.853733170134639,0,0.00979192166462668,0.00550795593635251,0.125458996328029,0.000611995104039168,0.80171358629131,0.19828641370869,0.490820073439412,0.509179926560588,0.0850673194614443,0.000611995104039168,0.0973072215422277,0.817013463892289,0.0410036719706242,0.958996328029376,0.992044063647491,0.00795593635250918
"47","Livingstone",0.232984293193717,0.217277486910995,0.206282722513089,0.13979057591623,0.0984293193717277,0.0649214659685864,0.0403141361256545,0.107068062827225,0.056020942408377,0.000785340314136126,0.192931937172775,0.00235602094240838,0.0172774869109948,0.282984293193717,0.158376963350785,0.182198952879581,0.369371727748691,0.630628272251309,0.129319371727749,0.870680628272251,0.158115183246073,0.00261780104712042,0.0856020942408377,0.753664921465969,0.453403141361257,0.546596858638743,0.968324607329843,0.0316753926701571
"48","Luampa",0.236973947895792,0.193887775551102,0.178857715430862,0.137274549098196,0.104208416833667,0.0816633266533066,0.0671342685370741,0.0125250501002004,0,0.00951903807615231,0.416332665330661,0.00100200400801603,0.0521042084168337,0.00751503006012024,0.5,0.00100200400801603,0.89128256513026,0.108717434869739,0.669839679358717,0.330160320641283,0.0901803607214429,0,0.102705410821643,0.807114228456914,0.0155310621242485,0.984468937875752,0.998496993987976,0.00150300601202405
"49","Luangwa",0.284905660377358,0.166037735849057,0.171698113207547,0.133962264150943,0.105660377358491,0.0773584905660377,0.060377358490566,0.030188679245283,0,0,0.00566037735849057,0,0,0.307547169811321,0.649056603773585,0.00754716981132075,0.784905660377359,0.215094339622642,0.509433962264151,0.490566037735849,0.420754716981132,0.00188679245283019,0.0849056603773585,0.492452830188679,0.00377358490566038,0.99622641509434,0.994339622641509,0.00566037735849057
"50","Luano",0.256176154672395,0.214822771213749,0.16702470461869,0.130504833512352,0.105800214822771,0.0741138560687433,0.0515574650912997,0.28625134264232,0.00268528464017186,0.000537056928034372,0.00537056928034372,0.00214822771213749,0,0.0166487647690655,0.631041890440387,0.0553168635875403,0.828141783029001,0.171858216970999,0.466702470461869,0.533297529538131,0.147690655209452,0.00483351235230934,0.0998925886143931,0.747583243823845,0.018796992481203,0.981203007518797,0.983351235230934,0.0166487647690655
"51","Luanshya",0.26837416481069,0.204899777282851,0.162583518930958,0.114922048997773,0.103118040089087,0.0717149220489978,0.0743875278396437,0.887527839643653,0.0207126948775056,0.00289532293986637,0.00400890868596882,0.00244988864142539,0.00155902004454343,0.00801781737193764,0.0679287305122494,0.00489977728285078,0.393095768374165,0.606904231625835,0.150556792873051,0.849443207126949,0.217594654788419,0.00200445434298441,0.0770601336302895,0.703340757238307,0.567706013363029,0.432293986636971,0.978173719376392,0.021826280623608
"52","Lufwanyama",0.254111405835544,0.190450928381963,0.171352785145889,0.124137931034483,0.119893899204244,0.0753315649867374,0.0647214854111406,0.327851458885942,0.00212201591511936,0.0594164456233422,0.000530503978779841,0.00742705570291777,0.00318302387267905,0.00477453580901857,0.575596816976127,0.0190981432360743,0.888063660477454,0.111936339522546,0.563925729442971,0.436074270557029,0.13209549071618,0.000530503978779841,0.0721485411140584,0.795225464190981,0.0583554376657825,0.941644562334218,0.994164456233422,0.00583554376657825
"53","Lukulu",0.226259289843105,0.199834847233691,0.174236168455822,0.152766308835673,0.108175061932287,0.0710156895127993,0.0677126341866226,0.00165152766308836,0,0.000825763831544178,0.403798513625103,0.0264244426094137,0.270024772914946,0,0.293971924029727,0.00330305532617671,0.919075144508671,0.0809248554913295,0.722543352601156,0.277456647398844,0.187448389760528,0.00165152766308836,0.109000825763832,0.701899256812552,0.00908340214698596,0.990916597853014,0.992568125516102,0.0074318744838976
"54","Lumezi",0.242519069039703,0.207119108155682,0.169763348327792,0.123019753569333,0.106199882652063,0.0831214551144142,0.0682573831410131,0.00488949735967143,0.000782319577547428,0,0.000195579894386857,0,0,0.031488362996284,0.962448660277723,0.000195579894386857,0.908077449638177,0.0919225503618228,0.671230197535693,0.328769802464307,0.19910033248582,0.0138861725014668,0.103070604341874,0.683942890670839,0.0105613142968903,0.98943868570311,0.99687072168981,0.00312927831018971
"55","Lundazi",0.246732026143791,0.21078431372549,0.166666666666667,0.122549019607843,0.106209150326797,0.0816993464052288,0.065359477124183,0,0,0,0,0,0,0.0245098039215686,0.975490196078431,0,0.92156862745098,0.0784313725490196,0.684640522875817,0.315359477124183,0.197712418300654,0.00980392156862745,0.0996732026143791,0.69281045751634,0,1,1,0
"56","Lunga",0.248071979434447,0.18573264781491,0.176092544987147,0.125321336760925,0.115681233933162,0.0816195372750643,0.0674807197943445,0.390102827763496,0,0,0,0,0,0,0.609897172236504,0,0.940874035989717,0.0591259640102828,0.753856041131105,0.246143958868895,0.447943444730077,0,0.0526992287917738,0.499357326478149,0.0006426735218509,0.999357326478149,0.999357326478149,0.0006426735218509
